Wall time,Step,Value
1650319143.8602633,500,0.5398949384689331
1650319305.6135664,1000,0.5735296010971069
1650319467.3034396,1500,0.6050832271575928
1650319628.996075,2000,0.6399184465408325
1650319790.8415976,2500,0.6451897621154785
1650319952.5416455,3000,0.6747359037399292
1650320114.2632394,3500,0.6900355815887451
1650320276.4069226,4000,0.7067021131515503
1650320438.2858143,4500,0.7193856835365295
1650320600.2826447,5000,0.7298771142959595
1650320761.6036599,5500,0.7618914842605591
1650320923.2626362,6000,0.7728888392448425
1650321084.5959003,6500,0.7979177236557007
1650321246.3570235,7000,0.8164581656455994
1650321407.451005,7500,0.8303259015083313
1650321568.9401197,8000,0.8437691926956177
1650321730.2151103,8500,0.8552740812301636
1650321891.9924495,9000,0.865489661693573
1650322053.8183756,9500,0.8732836246490479
1650322215.375995,10000,0.8847272396087646
1650322377.0470479,10500,0.8860440850257874
1650322538.9225168,11000,0.8925430774688721
1650322699.8319786,11500,0.8963342905044556
1650322861.6090147,12000,0.903672993183136
1650323023.0257938,12500,0.9066125154495239
1650323184.2514706,13000,0.9099764823913574
1650323345.9322634,13500,0.9155791401863098
1650323507.928308,14000,0.9180654287338257
1650323669.3107965,14500,0.9224554300308228
1650323831.0277457,15000,0.9241165518760681
1650323993.0792432,15500,0.926379382610321
1650324154.5023053,16000,0.9304046034812927
1650324315.9141738,16500,0.9326379299163818
1650324477.2577653,17000,0.935315728187561
1650324638.4790077,17500,0.9338273406028748
1650324799.9654136,18000,0.9419463872909546
1650324961.2623944,18500,0.9407381415367126
1650325122.50708,19000,0.9443599581718445
1650325283.83189,19500,0.9435182213783264
1650325445.2349284,20000,0.9448013305664062
1650325607.0609503,20500,0.9460137486457825
1650325768.9712539,21000,0.9473652839660645
1650325930.9242294,21500,0.9504835605621338
1650326092.8514283,22000,0.9516198039054871
1650326254.3723497,22500,0.952228844165802
1650326415.7031925,23000,0.9548132419586182
1650326577.175039,23500,0.9536739587783813
1650326738.40265,24000,0.9578730463981628
1650326899.7952166,24500,0.956876277923584
1650327061.12523,25000,0.9588901996612549
1650327222.3348997,25500,0.9601495862007141
1650327384.0372398,26000,0.958471417427063
1650327546.0265763,26500,0.9600428342819214
1650327707.4334643,27000,0.9612136483192444
1650327868.748224,27500,0.9622673392295837
1650328030.3413935,28000,0.9617854356765747
1650328191.790241,28500,0.9633738994598389
1650328353.245948,29000,0.9639360308647156
1650328514.929321,29500,0.9619919061660767
1650328676.7369146,30000,0.9621621966362
1650328838.1312106,30500,0.9642106294631958
1650328999.4445791,31000,0.9640759825706482
1650329160.824179,31500,0.9640581607818604
