Wall time,Step,Value
1648406651.4997964,500,0.5351653099060059
1648406877.3065083,1000,0.5827613472938538
1648407041.5877256,1500,0.6335354447364807
1648407207.058815,2000,0.6764181852340698
1648407371.9678254,2500,0.6897521615028381
1648407536.5535595,3000,0.7200829982757568
1648407702.877329,3500,0.7534872889518738
1648407868.5642543,4000,0.7693853974342346
1648408033.681232,4500,0.7845567464828491
1648408199.2802763,5000,0.7854016423225403
1648408363.8637543,5500,0.8079557418823242
1648408530.2490005,6000,0.8156082034111023
1648408694.803293,6500,0.8345094919204712
1648408858.0046234,7000,0.8441250324249268
1648409020.4156208,7500,0.8492586612701416
1648409184.4682322,8000,0.856242299079895
1648409347.735136,8500,0.8665545582771301
1648409510.7505045,9000,0.8720138072967529
1648409674.3049755,9500,0.8799142837524414
1648409837.4418743,10000,0.8823935985565186
1648410000.7917693,10500,0.8897724151611328
1648410164.331164,11000,0.8929230570793152
1648410327.0534508,11500,0.9003073573112488
1648410489.7406712,12000,0.899916410446167
1648410652.8575695,12500,0.905760645866394
1648410815.660202,13000,0.909116804599762
1648410978.6288555,13500,0.9142187833786011
1648411141.7016509,14000,0.9170641303062439
1648411305.807828,14500,0.9211448431015015
1648411468.820059,15000,0.9271383285522461
1648411632.8966315,15500,0.9238623976707458
1648411796.062994,16000,0.9289225339889526
1648411958.7868953,16500,0.9296037554740906
1648412121.6604939,17000,0.9322617650032043
1648412285.682168,17500,0.9328716397285461
1648412449.6622746,18000,0.9406766891479492
1648412612.9817815,18500,0.9385256171226501
1648412776.232328,19000,0.9405259490013123
1648412939.4091246,19500,0.9397112727165222
1648413102.997807,20000,0.945234477519989
1648413266.2187922,20500,0.9458916783332825
1648413429.1956904,21000,0.9482245445251465
1648413592.4921172,21500,0.9510839581489563
1648413756.2415514,22000,0.9486984014511108
1648413919.7006507,22500,0.9507169723510742
1648414083.4349246,23000,0.9525930285453796
1648414246.8901281,23500,0.952419102191925
1648414411.1912076,24000,0.9537084102630615
1648414574.3856747,24500,0.95656818151474
1648414737.692099,25000,0.9571214318275452
1648414901.1979623,25500,0.9584242701530457
1648415064.890709,26000,0.9589022994041443
1648415228.376648,26500,0.9594386219978333
1648415392.3207655,27000,0.9596936702728271
1648415555.9365678,27500,0.9626554250717163
1648415719.9290361,28000,0.9617730379104614
1648415883.4801283,28500,0.9614173769950867
1648416046.829094,29000,0.9624114036560059
1648416211.0916412,29500,0.9608384370803833
1648416374.6890116,30000,0.9613640904426575
