Wall time,Step,Value
1648386363.841284,500,0.513963520526886
1648386516.9890091,1000,0.5235078930854797
1648386660.000662,1500,0.5447691679000854
1648386805.867942,2000,0.5849933624267578
1648386948.3633683,2500,0.6365032196044922
1648387091.3086221,3000,0.6706568598747253
1648387233.0224776,3500,0.7060568928718567
1648387374.3930612,4000,0.7307764887809753
1648387516.018702,4500,0.7558858394622803
1648387658.0094516,5000,0.7793633937835693
1648387800.5818832,5500,0.7979856133460999
1648387943.442458,6000,0.8164165616035461
1648388085.7912219,6500,0.8265173435211182
1648388227.7878706,7000,0.8408756256103516
1648388369.6446054,7500,0.8510252237319946
1648388511.0019612,8000,0.8616934418678284
1648388652.5860796,8500,0.8707689642906189
1648388794.634249,9000,0.8792434930801392
1648388935.8227234,9500,0.887222945690155
1648389078.3439999,10000,0.8933600783348083
1648389219.7290335,10500,0.9023975133895874
1648389360.897693,11000,0.9057912230491638
1648389502.9496248,11500,0.916394054889679
1648389645.873924,12000,0.9191140532493591
1648389788.63405,12500,0.924048900604248
1648389931.5518482,13000,0.9245492815971375
1648390074.8128812,13500,0.9277956485748291
1648390218.3628552,14000,0.9352852702140808
1648390361.5326006,14500,0.940000057220459
1648390504.404381,15000,0.9394398331642151
1648390645.7953963,15500,0.9430586695671082
1648390788.4804142,16000,0.9481518268585205
1648390930.2765036,16500,0.9465106725692749
1648391071.792598,17000,0.9506072998046875
1648391215.0228739,17500,0.9553473591804504
1648391356.1811745,18000,0.956882655620575
1648391497.5150964,18500,0.9569520950317383
1648391637.9737442,19000,0.9580180048942566
1648391781.0829227,19500,0.9621399641036987
1648391923.409198,20000,0.9638098478317261
1648392067.425608,20500,0.9630153775215149
1648392211.3557758,21000,0.9652199745178223
1648392353.5158234,21500,0.9670380353927612
1648392496.3671303,22000,0.969445526599884
1648392640.7186055,22500,0.9692345261573792
1648392783.09323,23000,0.9725508093833923
1648392925.3551962,23500,0.9724565148353577
1648393066.5533886,24000,0.9735679030418396
1648393265.0505402,24500,0.9742125272750854
1648393408.3697014,25000,0.97545325756073
1648393552.028476,25500,0.9749494194984436
1648393694.0919101,26000,0.9762986898422241
1648393838.902133,26500,0.9747177362442017
1648393980.9111342,27000,0.9753465056419373
1648394123.5858939,27500,0.9779344797134399
1648394266.4319434,28000,0.9771857261657715
1648394409.0089588,28500,0.977615237236023
1648394553.123343,29000,0.9767541289329529
