Wall time,Step,Value
1648344873.7241356,500,0.5442444086074829
1648345014.140803,1000,0.6197099089622498
1648345147.4634209,1500,0.6958328485488892
1648345281.6607223,2000,0.7477209568023682
1648345414.514889,2500,0.7962086796760559
1648345547.398275,3000,0.8270476460456848
1648345678.4595883,3500,0.8520931005477905
1648345811.7540498,4000,0.8632440567016602
1648345947.5550175,4500,0.8879534006118774
1648346082.1112733,5000,0.8933457136154175
1648346215.4466639,5500,0.9033414125442505
1648346351.3861938,6000,0.913231372833252
1648346485.6444066,6500,0.9228125214576721
1648346621.2525535,7000,0.9251341223716736
1648346755.9339137,7500,0.9302515983581543
1648346894.6015334,8000,0.9371110796928406
1648347033.4772458,8500,0.9406002759933472
1648347167.6243205,9000,0.9458853602409363
1648347302.8670976,9500,0.9493920207023621
1648347439.7318685,10000,0.9532089233398438
1648347576.0329993,10500,0.9560226798057556
1648347712.233216,11000,0.956596851348877
1648347848.9684498,11500,0.9582981467247009
1648347984.5260267,12000,0.9619174599647522
1648348118.6639872,12500,0.9636940360069275
1648348252.7871017,13000,0.967899739742279
1648348387.1433942,13500,0.9689087271690369
1648348519.4147172,14000,0.9686684608459473
1648348651.955028,14500,0.9708389043807983
1648348787.4592376,15000,0.9721183180809021
1648348923.0787156,15500,0.9722104668617249
1648349058.5830102,16000,0.975735068321228
1648349193.8165946,16500,0.9756039977073669
1648349326.9542642,17000,0.9766374826431274
1648349463.145981,17500,0.9820640087127686
1648349596.6455595,18000,0.9784321188926697
1648349730.7495534,18500,0.9799405336380005
1648349865.0619953,19000,0.9811431765556335
1648349997.3330834,19500,0.9818235635757446
1648350132.659663,20000,0.980379045009613
1648350266.1180007,20500,0.9842405319213867
1648350400.0829957,21000,0.9848188161849976
1648350533.4214299,21500,0.9838933348655701
1648350667.6130445,22000,0.9845555424690247
1648350802.3036456,22500,0.9849480986595154
