Wall time,Step,Value
1648586943.4303172,500,0.5870321393013
1648587101.2870374,1000,0.6640471816062927
1648587259.4428363,1500,0.718090832233429
1648587417.5827043,2000,0.7685484886169434
1648587575.8188913,2500,0.7938306927680969
1648587734.2264867,3000,0.8242305517196655
1648587892.022764,3500,0.8460835218429565
1648588050.3584247,4000,0.8659794926643372
1648588207.690641,4500,0.8769516944885254
1648588365.4887645,5000,0.8804599046707153
1648588523.0580654,5500,0.8936228156089783
1648588681.007532,6000,0.8977646231651306
1648588838.4920883,6500,0.9070549011230469
1648588996.3147402,7000,0.9167817831039429
1648589154.1024456,7500,0.916337251663208
1648589311.6066046,8000,0.9214032888412476
1648589469.6368089,8500,0.9273282885551453
1648589627.949513,9000,0.9286556243896484
1648589786.2259653,9500,0.9324555993080139
1648589943.8748536,10000,0.9363586902618408
1648590101.8343964,10500,0.9415463209152222
1648590260.2210734,11000,0.9408388137817383
1648590418.1066742,11500,0.9439738392829895
1648590576.8957477,12000,0.9463537335395813
1648590734.9843934,12500,0.9494273066520691
1648590892.6427753,13000,0.9496423006057739
1648591050.4443703,13500,0.9531779289245605
1648591208.3455431,14000,0.9537901878356934
1648591366.1954744,14500,0.9555646777153015
1648591524.3445604,15000,0.9575125575065613
1648591733.8379986,15500,0.9582123756408691
1648591943.7125614,16000,0.9607105255126953
1648592152.3097715,16500,0.9592599868774414
1648592360.9865177,17000,0.9610625505447388
1648592520.780746,17500,0.9605423212051392
1648592678.6645174,18000,0.9643571972846985
1648592836.432339,18500,0.9612244367599487
1648592994.2159054,19000,0.9621705412864685
1648593152.303732,19500,0.9605074524879456
1648593310.3195536,20000,0.9634866714477539
1648593468.282186,20500,0.9600965976715088
1648593625.909158,21000,0.9613143801689148
1648593783.7673707,21500,0.9634999632835388
1648593942.3013437,22000,0.963225781917572
1648594100.0352905,22500,0.9622699022293091
1648594257.9064753,23000,0.9630109667778015
1648594416.0152168,23500,0.9627660512924194
1648594574.005876,24000,0.9630464315414429
1648594731.5902565,24500,0.9626336097717285
1648594889.3100486,25000,0.965173065662384
1648595047.5837076,25500,0.964337944984436
1648595205.6157155,26000,0.9633398652076721
1648595363.731159,26500,0.96415776014328
1648595521.1944282,27000,0.9642319083213806
1648595678.9715757,27500,0.9651932716369629
1648595836.978048,28000,0.9636568427085876
1648595994.6322265,28500,0.9643591046333313
1648596152.468685,29000,0.9653074145317078
1648596310.444206,29500,0.9631727933883667
1648596468.4824579,30000,0.962812602519989
