Wall time,Step,Value
1650375854.7500315,100,0.6949737071990967
1650375879.199135,200,0.6907182335853577
1650375903.594894,300,0.6864461302757263
1650375927.8749335,400,0.6869725584983826
1650375951.8913126,500,0.6866570115089417
1650376039.5890493,600,0.6830059289932251
1650376063.7226422,700,0.6819945573806763
1650376088.476863,800,0.6780984997749329
1650376112.7837594,900,0.6688511967658997
1650376137.063581,1000,0.6652867197990417
1650376217.9194922,1100,0.6488322615623474
1650376242.040846,1200,0.6470655798912048
1650376266.3874476,1300,0.6365164518356323
1650376290.7081983,1400,0.6364877820014954
1650376315.085822,1500,0.6158838868141174
1650376394.7828834,1600,0.6026516556739807
1650376418.8799763,1700,0.5971277952194214
1650376443.40377,1800,0.5886263251304626
1650376467.7494051,1900,0.5876922607421875
1650376491.7606838,2000,0.5710410475730896
1650376571.3763525,2100,0.5464047789573669
1650376596.12739,2200,0.5362281203269958
1650376620.6564677,2300,0.5347040891647339
1650376645.2088559,2400,0.5342984199523926
1650376669.9389632,2500,0.5203853845596313
1650376747.3316426,2600,0.5143787860870361
1650376771.6351502,2700,0.4941774606704712
1650376796.0669847,2800,0.48486122488975525
1650376820.4101703,2900,0.4691964387893677
1650376845.0281384,3000,0.47835224866867065
1650376922.764607,3100,0.4548870027065277
1650376947.320784,3200,0.4592648446559906
1650376971.5530014,3300,0.43562960624694824
1650376995.906316,3400,0.4392215311527252
1650377020.3099797,3500,0.41804957389831543
1650377098.7508302,3600,0.41673389077186584
1650377123.0455961,3700,0.40129414200782776
1650377147.2880824,3800,0.3836004137992859
1650377171.796802,3900,0.36423224210739136
1650377196.1471462,4000,0.351820707321167
1650377273.4433076,4100,0.35882213711738586
1650377297.6201012,4200,0.3536219596862793
1650377321.9809146,4300,0.3449176251888275
1650377346.2547042,4400,0.31315499544143677
1650377370.546158,4500,0.30973121523857117
1650377441.880935,4600,0.31066498160362244
1650377466.0524163,4700,0.3048442006111145
1650377490.423705,4800,0.2820502519607544
1650377514.6585073,4900,0.2682165801525116
1650377539.1207733,5000,0.2754058241844177
1650377609.5264485,5100,0.25735756754875183
1650377633.5603933,5200,0.25464072823524475
1650377657.620626,5300,0.25667816400527954
1650377681.644053,5400,0.24638883769512177
1650377705.996129,5500,0.2325844019651413
1650377776.3252285,5600,0.23701728880405426
1650377800.4723597,5700,0.2469269037246704
1650377824.9321764,5800,0.21541057527065277
1650377849.3162858,5900,0.2312442809343338
1650377873.5589797,6000,0.23744162917137146
1650377947.9004555,6100,0.22499263286590576
1650377972.21203,6200,0.21282491087913513
1650377996.5952313,6300,0.19487211108207703
1650378021.2606487,6400,0.194398432970047
1650378045.5987878,6500,0.19714421033859253
1650378115.3693883,6600,0.20496179163455963
1650378139.5644286,6700,0.19686636328697205
1650378163.7995963,6800,0.19995462894439697
1650378188.0009036,6900,0.16678482294082642
1650378212.3090627,7000,0.16968367993831635
1650378283.6571054,7100,0.17963315546512604
1650378307.7818387,7200,0.1806005984544754
1650378331.887195,7300,0.2003643661737442
1650378356.054328,7400,0.1685219705104828
1650378380.4039552,7500,0.16902609169483185
1650378452.9079642,7600,0.15356242656707764
1650378477.1028135,7700,0.16779369115829468
1650378501.1411793,7800,0.1545579433441162
1650378525.553422,7900,0.16805331408977509
1650378549.7941315,8000,0.15103091299533844
1650378623.1207435,8100,0.15336918830871582
1650378647.7668247,8200,0.14596211910247803
1650378671.8462749,8300,0.1477028727531433
1650378695.7757113,8400,0.143803209066391
1650378719.872625,8500,0.13269826769828796
1650378792.3648615,8600,0.1400175541639328
1650378816.5155668,8700,0.1400056779384613
1650378840.6664762,8800,0.14327788352966309
1650378864.8379505,8900,0.12596170604228973
1650378889.2367404,9000,0.12842543423175812
1650378959.9171753,9100,0.12318526953458786
1650378984.1454701,9200,0.1244085356593132
1650379008.2990713,9300,0.12341256439685822
1650379032.4786434,9400,0.13766710460186005
1650379056.837703,9500,0.13146132230758667
1650379128.193985,9600,0.10809958726167679
1650379152.1632705,9700,0.11090696603059769
1650379176.12481,9800,0.12824508547782898
1650379200.1147132,9900,0.1241384819149971
1650379224.4324293,10000,0.12017735093832016
1650379296.9032993,10100,0.10649740695953369
1650379321.1139345,10200,0.11337512731552124
1650379345.5093293,10300,0.12228085845708847
1650379369.4831078,10400,0.11486606299877167
1650379393.6607764,10500,0.11202108860015869
1650379464.4894946,10600,0.1109212189912796
1650379488.7920423,10700,0.10291581600904465
1650379512.8160107,10800,0.11093995720148087
1650379536.813834,10900,0.11296673864126205
1650379560.9277663,11000,0.10101266205310822
1650379632.203937,11100,0.11168251931667328
1650379656.2242467,11200,0.10176695138216019
1650379680.3262546,11300,0.0883965790271759
1650379704.51949,11400,0.08593493700027466
1650379728.621668,11500,0.10074290633201599
1650379800.587061,11600,0.09978756308555603
1650379824.8653061,11700,0.09419480711221695
1650379848.8163714,11800,0.09567417204380035
1650379872.7543943,11900,0.0913759097456932
1650379896.790006,12000,0.09564775228500366
1650379969.7103567,12100,0.09948355704545975
